Energy,Smeared_DOS
0.1,0.006620158319049644
0.2,0.006684028782233798
0.3,0.007155971217766203
0.4,0.007219841680950358
0.5,0.007220000000000001
0.6,0.007220160957700471
0.7,0.007285412566703646
0.8,0.007892803316813591
0.9,0.00884299569479213
1.0,0.010614448620543053
1.1,0.02630986210880582
1.2,0.03019957306604224
1.3,0.03540278001904129
1.4,0.028763217279899944
1.5,0.03360990598854816
1.6,0.0483011225452927
1.7,0.06546568231975453
1.8,0.0832172501431135
1.9,0.08622888081192756
2.0,0.12081943482293386
2.1,0.08931547748225306
2.2,0.1100732038270448
2.3,0.10753142461607706
2.4,0.12546237142919206
2.5,0.11640283120165311
2.6,0.09666605006857523
2.7,0.11235421970852073
2.8,0.12221854524653954
2.9,0.10047996122803603
3.0,0.1069264692414214
3.1,0.10141860677073461
3.2,0.08633865377643121
3.3,0.09345608725351702
3.4,0.07317361222399338
3.5,0.07112367116777542
3.6,0.06115143695489315
3.7,0.061193444049996215
3.8,0.06255139467159432
3.9,0.04686422507233649
4.0,0.06139626168817634
4.1,0.03955278497270508
4.2,0.0345153892929764
4.3,0.04740811138573024
4.4,0.062285634142448774
4.5,0.05502839971415565
4.6,0.0572333994422631
4.7,0.045113252491653974
4.8,0.04254149758230049
4.9,0.0605862642926931
5.0,0.04663108154482988
5.1,0.07076178742065531
5.2,0.08151891225697704
5.3,0.08656941789705057
5.4,0.059186972372855
5.5,0.05813457054087946
5.6,0.0797151141185983
5.7,0.06405601965110937
5.8,0.05690818226820673
5.9,0.04715351687146775
6.0,0.050986846506928044
6.1,0.053609970064879955
6.2,0.052083186003647454
6.3,0.11676063182450695
6.4,0.17494759965886642
6.5,0.14580161011607914
6.6,0.08829640027377761
6.7,0.15743962473184353
6.8,0.03776748799275552
6.9,0.020917199770048987
7.0,0.030827397420924094
7.1,0.02210047852672156
7.2,0.020637587073679034
7.3,0.03830526499002658
7.4,0.051414890314354325
7.5,0.05736333157445534
7.6,0.06533991499914665
7.7,0.055601583600648416
7.8,0.05390903303917067
7.9,0.05380757107877619
8.0,0.040178321722378035
8.1,0.04082067900842184
8.2,0.04415797807218192
8.3,0.05452131698297312
8.4,0.042984030865980745
8.5,0.03657229025322241
8.6,0.04603318117069051
8.7,0.05135702314598249
8.8,0.08288134294349997
8.9,0.06085410178682259
9.0,0.0896565116695308
9.1,0.04805901423180378
9.2,0.0439639409448127
9.3,0.13493735856250466
9.4,0.12598620106566796
9.5,0.13083707179633003
9.6,0.10058473932216055
9.7,0.14559287313303773
9.8,0.15134968667103088
9.9,0.1318801025347469
10.0,0.06486755209319102
10.1,0.04282800835431723
10.2,0.026825973446265045
10.3,0.0030238370791396615
10.4,7.467381841467122e-06
10.5,0.0
10.6,0.0
10.7,0.0
10.8,0.0
10.9,0.0
11.0,0.0
11.1,0.0
11.2,0.0
11.3,0.0
11.4,0.0
11.5,0.0
11.6,0.0
11.7,0.0
11.8,0.0
11.9,0.0
12.0,0.0
12.1,0.0
12.2,0.0
12.3,0.0
12.4,0.0
12.5,0.0
12.6,0.0
12.7,0.0
12.8,0.0
12.9,0.0
13.0,0.0
13.1,0.0
13.2,0.0
13.3,0.0
13.4,0.0
13.5,0.0
13.6,0.0
13.7,0.0
13.8,0.0
13.9,0.0
14.0,0.0
14.1,0.0
14.2,0.0
14.3,0.0
14.4,0.0
14.5,0.0
14.6,0.0
14.7,0.0
14.8,0.0
14.9,0.0
15.0,0.0
15.1,0.0
15.2,0.0
15.3,0.0
15.4,0.0
15.5,0.0
15.6,0.0
15.7,0.0
15.8,0.0
15.9,0.0
16.0,0.0
16.1,0.0
16.2,0.0
16.3,0.0
16.4,0.0
16.5,0.0
16.6,0.0
16.7,0.0
16.8,0.0
16.9,0.0
17.0,8.736572889433796e-06
17.1,0.0035310998889384
17.2,0.028674486591654752
17.3,0.024103072138942666
17.4,0.012837013083814016
17.5,0.016558774833446283
17.6,0.029274756480036194
17.7,0.04023177243382571
17.8,0.014943453350039845
17.9,0.01253194782345189
18.0,0.0015410739525152702
18.1,3.8128504455547673e-06
18.2,0.0
18.3,0.0
18.4,5.87891404338825e-06
18.5,0.002378871304662974
18.6,0.020415695290625938
18.7,0.02657829106355714
18.8,0.030101606932554786
18.9,0.04948130063609743
19.0,0.03208367244124873
19.1,0.03609917211665638
19.2,0.04067619395569916
19.3,0.053159270049653706
19.4,0.045654234020465916
19.5,0.03435000748102911
19.6,0.05333921796016515
19.7,0.07368174870179771
19.8,0.08200163008563385
19.9,0.05709758246256677
20.0,0.04494933400527865
20.1,0.040501118609064836
20.2,0.05301938767242671
20.3,0.053194617667282895
20.4,0.06607316882251174
20.5,0.05193444546112241
20.6,0.052057042155612736
20.7,0.049429837103304494
20.8,0.029885621682925842
20.9,0.04038202482183865
21.0,0.023957468510562893
21.1,0.05200421698335578
21.2,0.03816908463193446
21.3,0.03450844587121328
21.4,0.04640634390562697
21.5,0.05176622511124481
21.6,0.052012333467501684
21.7,0.028853205741936137
21.8,0.04307865997462432
21.9,0.04713176733535136
22.0,0.07184070822497246
22.1,0.06936155856168069
22.2,0.08030637351287788
22.3,0.06284671813236115
22.4,0.08161812207505509
22.5,0.05079058639109152
22.6,0.09351056676420565
22.7,0.09018181642485355
22.8,0.07061268757992926
22.9,0.08742640954493588
23.0,0.08875896438519301
23.1,0.08884821064034966
23.2,0.08543528592396948
23.3,0.06913729937730895
23.4,0.06248270473707857
23.5,0.08247765525999325
23.6,0.09792610171450405
23.7,0.05713778019499839
23.8,0.03229774855214932
23.9,0.02630336133582083
24.0,0.021712580434128742
24.1,0.02128666790477484
24.2,0.01917325367861318
24.3,0.019890334837455902
24.4,0.016410139188771218
24.5,0.010256852681017434
24.6,0.014310356982403072
24.7,0.028698094107932733
24.8,0.023121306375931107
24.9,0.028601031524464547
